rank,rank_metric,rank_value,summary,checkpoint,eval_set,samples,threshold,postprocess,iou,dice,precision,recall,accuracy
1,iou,0.8007929004909884,D:\personal_resources\CV_research\boxmot\bee_foreground_segmentation_release\outputs\eval_A_current_raw_check\summary.json,D:\personal_resources\CV_research\boxmot\bee_foreground_segmentation_release\models\bee_foreground_unetpp_resnet18_v2\best_model.pt,val,53,0.5,False,0.8007929004909884,0.889378118130798,0.8871276157271333,0.8916400679117148,0.9032859845961144
2,iou,0.7979903983016091,D:\personal_resources\CV_research\boxmot\bee_foreground_segmentation_release\outputs\matrix_runs_20260516\eval_C_unetpp_resnet34_384_resize\summary.json,D:\personal_resources\CV_research\boxmot\bee_foreground_segmentation_release\outputs\matrix_runs_20260516\C_unetpp_resnet34_384_resize\best_model.pt,val,53,0.5,False,0.7979903983016091,0.8876470075206129,0.8770150599215187,0.8985398981324279,0.9008193493176038
3,iou,0.7975290220537766,D:\personal_resources\CV_research\boxmot\bee_foreground_segmentation_release\outputs\matrix_runs_20260516\eval_D_unetpp_resnet18_384_letterbox\summary.json,D:\personal_resources\CV_research\boxmot\bee_foreground_segmentation_release\outputs\matrix_runs_20260516\D_unetpp_resnet18_384_letterbox\best_model.pt,val,53,0.5,False,0.7975290220537766,0.8873614971095771,0.8681432200471683,0.9074499151103566,0.8995490173434367
4,iou,0.7971860749638527,D:\personal_resources\CV_research\boxmot\bee_foreground_segmentation_release\outputs\matrix_runs_20260516\eval_B_unetpp_resnet18_384_resize\summary.json,D:\personal_resources\CV_research\boxmot\bee_foreground_segmentation_release\outputs\matrix_runs_20260516\B_unetpp_resnet18_384_resize\best_model.pt,val,53,0.5,False,0.7971860749638527,0.8871491784509701,0.8984143785296964,0.8761629881154499,0.9028062788156598
