rank,rank_metric,rank_value,summary,checkpoint,eval_set,samples,threshold,postprocess,iou,dice,precision,recall,accuracy
1,iou,0.7806764676449374,D:\personal_resources\CV_research\boxmot\bee_foreground_segmentation_release\outputs\eval_A_current_raw_check\summary.json,D:\personal_resources\CV_research\boxmot\bee_foreground_segmentation_release\models\bee_foreground_unetpp_resnet18_v2\best_model.pt,val,53,0.5,False,0.7806764676449374,0.8723558760575355,0.8732124955099853,0.8819893535549841,0.8891271928490162
2,iou,0.7763289199084561,D:\personal_resources\CV_research\boxmot\bee_foreground_segmentation_release\outputs\matrix_runs_20260516\eval_D_unetpp_resnet18_384_letterbox\summary.json,D:\personal_resources\CV_research\boxmot\bee_foreground_segmentation_release\outputs\matrix_runs_20260516\D_unetpp_resnet18_384_letterbox\best_model.pt,val,53,0.5,False,0.7763289199084561,0.8690616745240058,0.856672418764384,0.8954534786419404,0.8832838353893268
3,iou,0.7731329128453654,D:\personal_resources\CV_research\boxmot\bee_foreground_segmentation_release\outputs\matrix_runs_20260516\eval_B_unetpp_resnet18_384_resize\summary.json,D:\personal_resources\CV_research\boxmot\bee_foreground_segmentation_release\outputs\matrix_runs_20260516\B_unetpp_resnet18_384_resize\best_model.pt,val,53,0.5,False,0.7731329128453654,0.8663754316231229,0.8835811170357541,0.8595630682640637,0.886858636209665
4,iou,0.7695787822343064,D:\personal_resources\CV_research\boxmot\bee_foreground_segmentation_release\outputs\matrix_runs_20260516\eval_C_unetpp_resnet34_384_resize\summary.json,D:\personal_resources\CV_research\boxmot\bee_foreground_segmentation_release\outputs\matrix_runs_20260516\C_unetpp_resnet34_384_resize\best_model.pt,val,53,0.5,False,0.7695787822343064,0.864150784376508,0.8657112394676139,0.8749653624670374,0.8850124881370474
