epoch,lr,train_loss,val_loss,train_iou,val_iou,train_dice,val_dice,val_precision,val_recall
68,0.000016,0.182326,0.486490,0.908765,0.801642,0.952202,0.889901,0.892724,0.887097
69,0.000014,0.178584,0.493809,0.910627,0.801469,0.953223,0.889795,0.895490,0.884172
70,0.000011,0.180493,0.487252,0.909265,0.803213,0.952476,0.890869,0.894030,0.887730
71,0.000009,0.175059,0.486902,0.912163,0.802524,0.954064,0.890445,0.888589,0.892308
72,0.000007,0.175901,0.486723,0.911869,0.802481,0.953903,0.890418,0.895142,0.885743
73,0.000006,0.181569,0.490607,0.909596,0.803004,0.952658,0.890740,0.888941,0.892547
74,0.000004,0.179163,0.500300,0.910351,0.801576,0.953072,0.889861,0.894811,0.884965
75,0.000003,0.178476,0.488948,0.910593,0.802745,0.953205,0.890581,0.891268,0.889894
76,0.000002,0.190625,0.488540,0.906268,0.801421,0.950830,0.889765,0.887449,0.892094
77,0.000001,0.172006,0.485534,0.913804,0.802030,0.954961,0.890140,0.888131,0.892159
78,0.000000,0.176999,0.498393,0.910944,0.801043,0.953397,0.889532,0.894527,0.884593
79,0.000000,0.176634,0.492796,0.911568,0.801642,0.953739,0.889902,0.894776,0.885080
80,0.000000,0.172021,0.493570,0.913828,0.802792,0.954974,0.890609,0.895606,0.885669
